payment_id,disbursement_id,merchant_id,payment_date,payment_amount,payment_method,is_scheduled,days_from_due,processing_timestamp
a7e93f4b-e25b-4a05-a5ac-59a23866b595,b190d94a-b3ad-41f5-8e23-16f2a3909af4,98ac8061-ff08-491e-9c1d-cd63b7212e1b,2025-10-09,50756.57,ACH,TRUE,0,2025-10-03 09:52:00
242b5c26-7f5c-4820-9227-eee869fdd21e,b190d94a-b3ad-41f5-8e23-16f2a3909af4,98ac8061-ff08-491e-9c1d-cd63b7212e1b,2025-10-16,43364.19,ACH,TRUE,0,2025-10-03 09:46:00
b659e940-c0cb-4050-b74a-ba48ed5f3281,b190d94a-b3ad-41f5-8e23-16f2a3909af4,98ac8061-ff08-491e-9c1d-cd63b7212e1b,2025-10-23,46512.64,ACH,TRUE,1,2025-10-03 09:52:00
0de32077-8d47-4d96-8dc4-485d60afadd7,b190d94a-b3ad-41f5-8e23-16f2a3909af4,98ac8061-ff08-491e-9c1d-cd63b7212e1b,2025-10-30,45892.08,WIRE,TRUE,7,2025-10-03 09:21:00
3f09d617-4130-4daa-9b5a-4e33bb2199a2,b190d94a-b3ad-41f5-8e23-16f2a3909af4,98ac8061-ff08-491e-9c1d-cd63b7212e1b,2025-11-06,44283.77,WIRE,FALSE,-2,2025-10-03 09:09:00
98be05ad-234b-498b-8d2f-02171bca193e,b3a6a53c-6abb-430b-b735-5c29a6083bd0,98ac8061-ff08-491e-9c1d-cd63b7212e1b,2025-10-09,5700.42,CARD,FALSE,3,2025-10-03 09:57:00
fdbcc63b-568e-4d08-808d-027c07782c64,b3a6a53c-6abb-430b-b735-5c29a6083bd0,98ac8061-ff08-491e-9c1d-cd63b7212e1b,2025-10-16,5708.39,CHECK,TRUE,0,2025-10-03 09:45:00
7cf21ca2-b7f1-4c59-978b-e02c266ffee0,b3a6a53c-6abb-430b-b735-5c29a6083bd0,98ac8061-ff08-491e-9c1d-cd63b7212e1b,2025-10-23,4943.08,CHECK,FALSE,0,2025-10-03 09:27:00
b7c68e53-027a-42f3-944b-b6917fdaecb3,b3a6a53c-6abb-430b-b735-5c29a6083bd0,98ac8061-ff08-491e-9c1d-cd63b7212e1b,2025-10-30,5563.45,CARD,TRUE,12,2025-10-03 09:18:00
f84ab1dc-bbcb-4ce5-8515-ac210cf85928,b3a6a53c-6abb-430b-b735-5c29a6083bd0,98ac8061-ff08-491e-9c1d-cd63b7212e1b,2025-11-06,5607.24,CHECK,FALSE,0,2025-10-03 09:52:00
611f521a-bc47-48fc-b3db-0e414b4a9908,72498856-00c6-4248-9ef5-ef3affba85ec,ee484148-eea5-46f5-b5d2-4d3a99c3363c,2025-10-09,14606.27,WIRE,FALSE,12,2025-10-03 09:39:00
7e2a644d-a949-490f-a624-db0c0cadec1d,72498856-00c6-4248-9ef5-ef3affba85ec,ee484148-eea5-46f5-b5d2-4d3a99c3363c,2025-10-16,14005.42,WIRE,TRUE,0,2025-10-03 09:02:00
b1d44135-db7c-4688-a19b-47ab1eab8c0b,72498856-00c6-4248-9ef5-ef3affba85ec,ee484148-eea5-46f5-b5d2-4d3a99c3363c,2025-10-23,14063.11,CARD,FALSE,12,2025-10-03 09:35:00
26724919-c51c-4b2e-b3b6-e575e214f607,72498856-00c6-4248-9ef5-ef3affba85ec,ee484148-eea5-46f5-b5d2-4d3a99c3363c,2025-10-30,13838.93,ACH,TRUE,12,2025-10-03 09:37:00
472ec67f-8e1b-49f9-854e-8c2485d15dc3,72498856-00c6-4248-9ef5-ef3affba85ec,ee484148-eea5-46f5-b5d2-4d3a99c3363c,2025-11-06,12944.99,WIRE,TRUE,1,2025-10-03 09:16:00
43ce30bf-4815-4161-9af0-50eabef30e5a,036569e5-bedd-4203-8051-1a64eeb2f0c2,f298a6e2-9d19-485e-9105-8428569aa9d8,2025-10-09,35303.92,ACH,FALSE,0,2025-10-03 09:29:00
28de032f-ba99-419a-a213-bdc785dafe69,036569e5-bedd-4203-8051-1a64eeb2f0c2,f298a6e2-9d19-485e-9105-8428569aa9d8,2025-10-16,40722.67,CARD,FALSE,0,2025-10-03 09:45:00
dfc1fe27-af35-4a72-8f63-a6a43df01015,036569e5-bedd-4203-8051-1a64eeb2f0c2,f298a6e2-9d19-485e-9105-8428569aa9d8,2025-10-23,35750.25,CARD,FALSE,0,2025-10-03 09:45:00
93156148-0734-4acf-9f2b-e0a07b7e5bfe,036569e5-bedd-4203-8051-1a64eeb2f0c2,f298a6e2-9d19-485e-9105-8428569aa9d8,2025-10-30,35649.50,WIRE,TRUE,7,2025-10-03 09:04:00
8be50faf-8dc6-4240-aa13-419fd9713edd,036569e5-bedd-4203-8051-1a64eeb2f0c2,f298a6e2-9d19-485e-9105-8428569aa9d8,2025-11-06,39499.86,WIRE,FALSE,3,2025-10-03 09:28:00
0816bea0-8ba6-4956-affe-353fb6e08a14,51de76bd-194e-4e85-932e-27e8ab94a97f,f298a6e2-9d19-485e-9105-8428569aa9d8,2025-10-10,44157.24,WIRE,TRUE,0,2025-10-03 09:31:00
28a7e50a-2edb-469b-854e-1d15dc74d1cc,51de76bd-194e-4e85-932e-27e8ab94a97f,f298a6e2-9d19-485e-9105-8428569aa9d8,2025-10-17,43927.73,ACH,TRUE,0,2025-10-03 09:47:00
c485762f-03a5-4098-841e-da71b5fcad9c,51de76bd-194e-4e85-932e-27e8ab94a97f,f298a6e2-9d19-485e-9105-8428569aa9d8,2025-10-24,45760.73,ACH,FALSE,1,2025-10-03 09:36:00
865958e8-444f-430e-b38a-bfe62d0e7ee7,51de76bd-194e-4e85-932e-27e8ab94a97f,f298a6e2-9d19-485e-9105-8428569aa9d8,2025-10-31,38975.11,CHECK,FALSE,7,2025-10-03 09:01:00
67e4bbf4-413f-473b-b52f-9dd70ac23af9,51de76bd-194e-4e85-932e-27e8ab94a97f,f298a6e2-9d19-485e-9105-8428569aa9d8,2025-11-07,42957.93,ACH,FALSE,-2,2025-10-03 09:11:00
d42c7572-102b-4c3b-a1d1-d8738fa98d53,34df05ca-15f6-4522-b4f8-d8ff6faf4c38,640eda7a-617c-4ec3-9ec8-4b77f1a2b5c0,2025-09-21,36499.21,CHECK,TRUE,3,2025-10-03 09:30:00
d47f9203-d6b4-4fcc-9c73-64306a21755b,34df05ca-15f6-4522-b4f8-d8ff6faf4c38,640eda7a-617c-4ec3-9ec8-4b77f1a2b5c0,2025-09-28,42642.20,WIRE,FALSE,0,2025-10-03 09:48:00
44f2770e-1b79-4d97-a1ac-eab8d4eab06a,34df05ca-15f6-4522-b4f8-d8ff6faf4c38,640eda7a-617c-4ec3-9ec8-4b77f1a2b5c0,2025-10-05,41547.71,WIRE,TRUE,1,2025-10-03 09:05:00
64321ff7-f33b-4faf-947c-2e963aaa675a,34df05ca-15f6-4522-b4f8-d8ff6faf4c38,640eda7a-617c-4ec3-9ec8-4b77f1a2b5c0,2025-10-12,38767.82,CARD,FALSE,0,2025-10-03 09:42:00
8ba79886-8a31-4b49-af4e-60b86d59cdc0,34df05ca-15f6-4522-b4f8-d8ff6faf4c38,640eda7a-617c-4ec3-9ec8-4b77f1a2b5c0,2025-10-19,40633.61,CARD,TRUE,-1,2025-10-03 09:35:00
8eab7ba2-0457-422e-ac3e-5a0ca032bedc,5214aed5-d74c-4764-b780-ef1643b2b52e,c44e34a8-9fb1-4ed2-aea2-7784e0b7c1a5,2025-10-09,27692.23,ACH,TRUE,12,2025-10-03 09:57:00
159c5995-db18-457a-a915-c53c031bcc07,5214aed5-d74c-4764-b780-ef1643b2b52e,c44e34a8-9fb1-4ed2-aea2-7784e0b7c1a5,2025-10-16,30390.14,ACH,FALSE,-2,2025-10-03 09:53:00
beb7cc96-e2ee-4b6b-872d-4bc96f9b55ea,5214aed5-d74c-4764-b780-ef1643b2b52e,c44e34a8-9fb1-4ed2-aea2-7784e0b7c1a5,2025-10-23,29860.89,CHECK,FALSE,7,2025-10-03 09:55:00
5a24524f-d016-4577-97ac-65d7e700abac,5214aed5-d74c-4764-b780-ef1643b2b52e,c44e34a8-9fb1-4ed2-aea2-7784e0b7c1a5,2025-10-30,28268.13,ACH,FALSE,0,2025-10-03 09:07:00
fac85731-756f-4731-aaaa-9f315773e507,5214aed5-d74c-4764-b780-ef1643b2b52e,c44e34a8-9fb1-4ed2-aea2-7784e0b7c1a5,2025-11-06,28901.34,CARD,FALSE,0,2025-10-03 09:19:00
