application_id,merchant_id,application_date,requested_amount,loan_purpose,application_status,credit_score,processing_time
50be2077-65db-4072-b12b-70b04ea81b46,37d01890-da8d-4c77-9a87-f9d552c8a08d,2025-10-04,239393.21,EXPANSION,REJECTED,726,2025-10-07 02:37:00
2186cf46-e4c1-4bdb-b707-b68bc3ea067c,417f49e6-cdde-4655-9ccb-90e7bf199e3f,2025-10-06,230524.57,PAYROLL,REJECTED,580,2025-10-07 02:50:00
95ded122-ee91-4fe6-af64-9ebdc150509e,5d812fdb-1ad4-4763-983d-e8fa075c95f9,2025-10-07,85084.25,EXPANSION,APPROVED,465,2025-10-07 02:00:00
5647b6ff-19e8-408c-bd05-3650657123e0,c881b449-cf11-4a14-ae10-3b404623ad13,2025-10-06,88279.60,EXPANSION,REJECTED,761,2025-10-07 02:50:00
111b274d-d26b-413a-acbd-1df85d5c3c89,2f5a56ec-ef1c-49d3-95a8-bb0b8551a8fd,2025-10-05,202289.83,EXPANSION,PENDING,433,2025-10-07 02:15:00
5ca31d63-1904-4174-af4c-f340cc9d8cac,6d698345-2c02-496e-ae74-3082e3d2797d,2025-10-07,214300.62,EXPANSION,PENDING,728,2025-10-07 02:21:00
ee600ba5-4cf7-4048-84ac-725bae4736dd,6d698345-2c02-496e-ae74-3082e3d2797d,2025-10-05,154018.84,EQUIPMENT,PENDING,354,2025-10-07 02:00:00
02cf1802-a895-4b63-ab32-111941e1324f,4fd48356-4141-4dd0-b8f8-32c03ae18102,2025-10-07,77057.52,EQUIPMENT,REJECTED,762,2025-10-07 02:27:00
9984a5ad-93d4-494d-ba1e-a49dcc528470,5609c3c8-4b3c-4a16-998d-ec4a6ed79fe9,2025-10-07,192133.18,INVENTORY,APPROVED,699,2025-10-07 02:01:00
40bf6628-8736-4141-aacc-3da591a95d84,a5e74fdb-4543-40c8-a828-a7cd83c1603c,2025-10-07,27613.54,EXPANSION,REJECTED,815,2025-10-07 02:52:00
6fa2732e-49d2-493b-923c-15de900b6da0,56d0c700-f680-47bb-bd31-2e071172eae6,2025-10-07,6499.23,INVENTORY,REJECTED,849,2025-10-07 02:00:00
7cccba5e-21e9-4cee-a4b9-88a2e78e8bab,56d0c700-f680-47bb-bd31-2e071172eae6,2025-10-06,179186.93,INVENTORY,REJECTED,430,2025-10-07 02:12:00
360c05ac-72b3-4e9f-a013-519a9441792b,4aadd1b2-a415-4c70-881b-011131012d73,2025-10-06,113801.64,EXPANSION,APPROVED,313,2025-10-07 02:59:00
325abd71-7199-406d-bb7c-21792cee7815,c44e34a8-9fb1-4ed2-aea2-7784e0b7c1a5,2025-10-06,213921.74,WORKING_CAPITAL,APPROVED,735,2025-10-07 02:04:00
