disbursement_id,application_id,merchant_id,disbursed_amount,disbursement_date,interest_rate,term_months,repayment_schedule
a811201c-532b-4190-b6ec-eeef70cc8158,561f7f70-0b96-4707-9f37-56af7335b197,24b7ed7b-26c4-48a7-8a84-1a9dc7d16d30,98162.33,2025-10-05,0.1629,18,MONTHLY
0b7bd118-e8b2-4117-92be-aae6473e588f,c7562701-8533-494f-bf4f-853bd3d4a4ba,60a0c25f-5c88-47d0-9671-64f27704d360,195143.84,2025-10-04,0.2225,6,MONTHLY
68995675-ed2d-4648-a604-8b088e3bd062,983819c8-712a-44f3-93a6-58005281f2c1,e494fcac-d87e-46c9-b01a-1179947e1c22,110395.61,2025-10-05,0.2336,18,WEEKLY
c6e037da-f0a8-4e0a-a186-4c66e171ea51,76929be1-b8eb-42af-9cbc-cb2016abde3e,fef52cda-abe6-465d-978f-fe4eb71cf22a,121614.81,2025-09-20,0.1689,18,MONTHLY
295d3981-3838-4deb-b274-2acf3b8f6dfe,2af29e32-556e-4e81-bf69-efc182c3b78d,37d01890-da8d-4c77-9a87-f9d552c8a08d,107705.15,2025-10-05,0.1872,12,DAILY
6a201aac-c945-4489-9efb-090147244037,d4eeba53-4e7d-4869-bb44-5de6e73e3b14,9aa1c87c-8db2-4a9d-985b-a91e823478ad,67565.76,2025-10-05,0.1231,12,WEEKLY
ea22551a-8ed5-4f69-9002-d7394b9b5013,59348b6f-1ad0-4eab-9c34-14cd2436f4ae,37d01890-da8d-4c77-9a87-f9d552c8a08d,6861.71,2025-10-04,0.1988,12,DAILY
918deafe-ced7-48f9-8a36-344af8a0b988,270686c3-defd-41fe-ae67-9fbf1ee4e682,c881b449-cf11-4a14-ae10-3b404623ad13,188288.60,2025-10-03,0.2081,9,WEEKLY
5276e849-304f-4e21-b051-430b1bdc1ffb,448f2fbf-9942-4bea-8bf2-a814656f6788,c9059894-6149-4850-9c49-c0b51175a4f9,114576.17,2025-10-03,0.2442,12,WEEKLY
5b689d21-1f08-495d-8da9-c46a0b714ed2,aa3b13cd-98d2-4833-8cc9-c0f41044d3c2,56d0c700-f680-47bb-bd31-2e071172eae6,184483.00,2025-10-03,0.1887,18,DAILY
241214d5-3230-43fd-8d0f-9005c88df7c0,0d879de3-9726-4ff5-abf5-c7bc9f2805c3,9aa1c87c-8db2-4a9d-985b-a91e823478ad,123058.97,2025-10-04,0.1414,9,DAILY
d4ee6508-92ee-4345-931d-aba8c7e1774a,3a8f7a6f-2419-4b08-9c3e-65b87693f52c,06251a80-1597-49bb-b792-424501228af5,20530.19,2025-10-03,0.1892,12,MONTHLY
3718e840-3ab9-4718-bd09-c6b151e2d8f4,1f4dc6e5-f7e8-4ce0-bb6c-f017474d617e,f298a6e2-9d19-485e-9105-8428569aa9d8,89494.40,2025-10-03,0.2010,18,WEEKLY
abe2d9a0-73f9-4a1b-8df6-0d04ee96bc9e,d9f2d3c6-2177-4e49-a8a0-717b0ea0783f,e4d4ed24-371a-4d06-a161-38b0bbaa4d5a,170152.13,2025-10-04,0.0976,12,MONTHLY
654ce532-41a5-488b-aa6d-b19c2a91256d,e8c23d8d-4420-4a5a-8893-334fe9306f7f,b3c84659-c8c7-44b5-9a7a-620b2839b4f8,70383.26,2025-10-05,0.1732,12,DAILY
62f66c7f-0403-4c58-a52f-52d017834742,c36057d0-1eab-4b82-9f66-838620f0a08f,6c712b76-41c2-4393-9da6-dcbbea3f1274,135847.42,2025-10-05,0.1901,9,DAILY
62f66c7f-0403-4c58-a52f-52d017834742,c36057d0-1eab-4b82-9f66-838620f0a08f,6c712b76-41c2-4393-9da6-dcbbea3f1274,135847.42,2025-10-05,0.1901,9,DAILY
48581658-c029-4198-8abb-54c719bdf6c6,b92aa423-e3cd-44a1-b184-daea88f8e0c4,640eda7a-617c-4ec3-9ec8-4b77f1a2b5c0,18347.42,2025-10-05,0.1546,9,WEEKLY
869b8a32-3ade-4aa4-8c5d-d64a7eb68b18,dda0fe63-b04e-4d2b-8014-64707ad3da91,10dc1d1d-3a22-4eca-a90f-0bbf30ab1ff7,9226.11,2025-10-04,0.2465,12,MONTHLY
368cb733-4195-4ab0-98a5-472cb0904211,20ba147f-4cd6-4e69-96be-3b4267e60384,e2817d4a-99c0-4e85-9c2f-7db9bb266202,146178.35,2025-10-04,0.2373,9,WEEKLY
56017777-50f3-4176-9cde-3db010f8354f,22e91923-67ab-465e-9297-b3b5dc66c4d9,e494fcac-d87e-46c9-b01a-1179947e1c22,169383.25,2025-09-30,0.1994,9,DAILY
c8d50780-be47-4646-9fa7-d687c91d2116,c88233a8-28fc-4797-9df4-864ce70f66b2,c082bdbf-48d4-4795-9b61-489ff67c5522,16154.16,2025-10-03,0.0978,9,MONTHLY
f288b582-2e83-4e8e-b9e5-3c80fadea40c,3d2b26d8-6b6c-44ad-8578-88e33beebb4e,1c05d0f4-0889-4c41-8123-898067ef4103,186768.26,2025-10-03,0.1258,6,WEEKLY
c356d616-906e-4238-8110-a7e039f33d50,208b7586-5c2a-4418-b1bc-d4ad93321bcb,016fc6ee-3b44-4211-8fcc-e7e35df45aa7,33850.03,2025-10-04,0.0838,18,MONTHLY
0b7b9d84-bf85-483c-93b7-f7d78501822f,fcd74971-11bc-4e4c-bd1c-a51bb2a92a6e,56d0c700-f680-47bb-bd31-2e071172eae6,201860.20,2025-10-04,0.1959,6,MONTHLY
794ddcab-d407-49cb-ac75-d43fe38c8ec3,10287704-cdd8-4f0c-aeb3-b6dd6c05bb19,406e2076-2b6c-41f4-9249-01bd45744bea,6721.69,2025-10-03,0.1532,9,WEEKLY
bb815d39-6c8b-48b5-bef3-a13ab2640ce7,6d423b77-6889-4528-abeb-9a9f28f8459f,c082bdbf-48d4-4795-9b61-489ff67c5522,115200.14,2025-10-03,0.1195,18,DAILY
0215a389-0d62-4bfc-b92c-9d92d4da6861,80313820-b4ae-40bd-ad30-2196c6ec5969,c082bdbf-48d4-4795-9b61-489ff67c5522,186553.15,2025-10-03,0.1836,12,MONTHLY
b54068cd-f1e2-49eb-92c7-1734b4a1dead,7f259930-a427-4d4b-997d-8152658aee43,4aadd1b2-a415-4c70-881b-011131012d73,41473.28,2025-10-03,0.1074,9,DAILY
72d38161-d3da-42b8-8e33-386e49cbe1ea,00b82ae7-3608-4725-896d-ed8c907f6d6b,0356f28d-6c73-42ff-8a4a-ba914e0c464e,41248.31,2025-10-05,0.2379,6,WEEKLY
53a503c3-defc-4587-b8d3-85b045279e3d,e915de06-ab84-4535-be5f-704f8d6a5182,ee484148-eea5-46f5-b5d2-4d3a99c3363c,73184.26,2025-10-03,0.2168,18,MONTHLY
6220d9ba-55cb-428c-8830-44b801a49cc3,2503bf27-6f1a-4f5d-b63d-790ec56187a8,a5e74fdb-4543-40c8-a828-a7cd83c1603c,30469.81,2025-10-05,0.2002,12,WEEKLY
ac29bf3c-2ee0-47c8-950a-ed1cb8489d19,2e044411-9446-4e26-baa2-fcddb776e747,10dc1d1d-3a22-4eca-a90f-0bbf30ab1ff7,4496.57,2025-10-05,0.1876,12,WEEKLY
059c42a7-2c73-41ef-8f4b-8af265c38823,f3199b9d-6b6a-4ad8-9d97-dd0e7b0bf4ef,f298a6e2-9d19-485e-9105-8428569aa9d8,115374.91,2025-10-05,0.1747,12,DAILY
