application_id,merchant_id,application_date,requested_amount,loan_purpose,application_status,credit_score,processing_time
714007b0-337b-4dce-aebf-02042e094b11,3d7f62f1-29a7-4818-99bd-189e2921e8e7,2025-10-03,55509.25,EQUIPMENT,APPROVED,835,2025-10-03 02:28:00
5187b92d-3b2b-4079-b468-50afbeba448f,4fd48356-4141-4dd0-b8f8-32c03ae18102,2025-10-03,151086.63,EXPANSION,APPROVED,390,2025-10-03 02:40:00
c8610761-cdde-447f-9a7b-e16ac279edf2,1c05d0f4-0889-4c41-8123-898067ef4103,2025-10-03,33789.42,EXPANSION,APPROVED,397,2025-10-03 02:39:00
0ebc00ee-32ba-469b-b372-e69f6b068730,fef52cda-abe6-465d-978f-fe4eb71cf22a,2025-10-02,193731.16,WORKING_CAPITAL,APPROVED,583,2025-10-03 02:03:00
1fbbefd1-60a1-4568-95fe-b699bb8952c4,e4d4ed24-371a-4d06-a161-38b0bbaa4d5a,2025-10-02,126891.14,EXPANSION,PENDING,344,2025-10-03 02:03:00
721dc213-606a-49d1-b2df-fe6333d57304,5d812fdb-1ad4-4763-983d-e8fa075c95f9,2025-10-01,202262.65,INVENTORY,APPROVED,344,2025-10-03 02:06:00
09f8ca67-ef70-4002-9339-8dde5e6a5c27,4fd48356-4141-4dd0-b8f8-32c03ae18102,2025-10-03,123840.04,EQUIPMENT,PENDING,540,2025-10-03 02:46:00
77bd617e-f180-426f-a815-d08411b481d9,16c166d8-f489-4822-bce4-295938410143,2025-10-01,170828.87,WORKING_CAPITAL,APPROVED,412,2025-10-03 02:20:00
f2bd85a9-bd73-484d-9dd3-208daf2e4aa5,24b7ed7b-26c4-48a7-8a84-1a9dc7d16d30,2025-10-03,97005.44,EQUIPMENT,PENDING,782,2025-10-03 02:37:00
e9a64d15-d569-400d-93a5-3ca2c8ecd04b,5d812fdb-1ad4-4763-983d-e8fa075c95f9,2025-10-01,116472.76,WORKING_CAPITAL,APPROVED,439,2025-10-03 02:29:00
c72d357d-4dcd-4bb2-8d4d-125f9cf91ddc,a5e74fdb-4543-40c8-a828-a7cd83c1603c,2025-10-03,12863.18,INVENTORY,APPROVED,587,2025-10-03 02:08:00
31787d9a-c7c9-40ff-8ce5-e34d319207c0,0356f28d-6c73-42ff-8a4a-ba914e0c464e,2025-10-02,58864.12,PAYROLL,APPROVED,460,2025-10-03 02:50:00
bbc29d45-0f6b-4452-bb50-5eb6161974b0,8aa64daa-686d-4ec0-b31b-1788fd1f9256,2025-10-03,26186.21,WORKING_CAPITAL,REJECTED,800,2025-10-03 02:55:00
5a907c04-41b8-4519-8fec-6aa5e5fc1763,0356f28d-6c73-42ff-8a4a-ba914e0c464e,2025-10-01,109887.04,EQUIPMENT,REJECTED,553,2025-10-03 02:20:00
08b6c091-58d9-4a9f-9962-9129e2deca16,640eda7a-617c-4ec3-9ec8-4b77f1a2b5c0,2025-10-01,225071.69,EQUIPMENT,APPROVED,345,2025-10-03 02:02:00
c7ce45a6-c453-444c-b3cf-c1cbd631f717,b22eb926-c600-4168-a4b6-111f965b1f4a,2025-09-25,101608.44,EQUIPMENT,REJECTED,400,2025-10-03 02:28:00
6b747120-e48b-4959-a338-565b0444d65d,4e5f2db8-b636-41c6-adf8-60900519c72d,2025-10-01,184287.64,EXPANSION,REJECTED,435,2025-10-03 02:22:00
6e9407a6-1870-4a7d-8a6f-3e1d494e51f9,e494fcac-d87e-46c9-b01a-1179947e1c22,2025-09-23,79684.97,EQUIPMENT,APPROVED,324,2025-10-03 02:29:00
b7d4dd34-d619-4f11-adf0-cd7e85054802,c44e34a8-9fb1-4ed2-aea2-7784e0b7c1a5,2025-10-02,158568.68,INVENTORY,APPROVED,301,2025-10-03 02:55:00
39c6bbe1-cc80-4701-8bed-4037f4afe61e,ee484148-eea5-46f5-b5d2-4d3a99c3363c,2025-10-03,77664.55,INVENTORY,APPROVED,512,2025-10-03 02:50:00
ab37f154-89ee-4c4e-a3c4-0034fc5148fb,0e4c7fd8-4c3e-42f0-9011-765255de0990,2025-10-03,131110.44,INVENTORY,REJECTED,672,2025-10-03 02:56:00
d2d95cdd-270a-4bb6-961f-7bbd7779ca3d,c881b449-cf11-4a14-ae10-3b404623ad13,2025-10-03,94564.93,WORKING_CAPITAL,PENDING,368,2025-10-03 02:35:00
6b776ed6-4d72-4175-8f90-d55052e40fc5,0e4c7fd8-4c3e-42f0-9011-765255de0990,2025-10-03,164014.41,WORKING_CAPITAL,APPROVED,514,2025-10-03 02:48:00
94b94ae6-e687-485e-85fd-928efaef2236,a5e74fdb-4543-40c8-a828-a7cd83c1603c,2025-10-02,72900.61,EQUIPMENT,PENDING,653,2025-10-03 02:28:00
b4035a65-66a9-42b5-8bd7-2d4fe20ecdb7,6c712b76-41c2-4393-9da6-dcbbea3f1274,2025-10-01,171185.53,PAYROLL,APPROVED,599,2025-10-03 02:28:00
8546272c-03c9-4c1c-af55-d3c197d1198b,a592711b-288f-46f7-a88e-7d9ff63ceaae,2025-10-03,51146.63,EQUIPMENT,REJECTED,389,2025-10-03 02:05:00
8d314bb8-4067-45da-b22e-4d12a850a45e,6d176db0-5b63-4501-9d7f-9ea20e932f67,2025-10-03,31794.41,WORKING_CAPITAL,APPROVED,451,2025-10-03 02:31:00
ddf08fcc-e3b1-4be9-bb10-05812b9d3601,56d0c700-f680-47bb-bd31-2e071172eae6,2025-10-03,76826.51,EXPANSION,REJECTED,435,2025-10-03 02:30:00
54a9f0bf-b958-47ae-92d6-0396727b27de,24b7ed7b-26c4-48a7-8a84-1a9dc7d16d30,2025-10-02,51319.86,PAYROLL,PENDING,537,2025-10-03 02:53:00
2ca2a3cf-c9c2-456f-84ff-c383a4e83f39,9aa1c87c-8db2-4a9d-985b-a91e823478ad,2025-10-01,163282.55,PAYROLL,APPROVED,842,2025-10-03 02:53:00
16af64b8-ab54-4e09-9ddb-1ac4679c00a6,098bcd5b-0d2f-45d3-8126-8d81f454f4da,2025-10-02,47075.60,EXPANSION,APPROVED,795,2025-10-03 02:23:00
b8c54849-aaaa-4bbe-a6de-58daa99b3fe9,06251a80-1597-49bb-b792-424501228af5,2025-10-02,116702.00,PAYROLL,PENDING,464,2025-10-03 02:45:00
bddbc662-c0d4-4ac8-8429-00f327512e57,4fd48356-4141-4dd0-b8f8-32c03ae18102,2025-10-01,226654.23,INVENTORY,APPROVED,465,2025-10-03 02:15:00
67fa8742-604f-4a72-8464-7fb4c5acc394,16c166d8-f489-4822-bce4-295938410143,2025-10-02,68799.76,EXPANSION,PENDING,335,2025-10-03 02:42:00
c8a14bbd-579c-4efd-afc9-6071e164b4d5,e4d4ed24-371a-4d06-a161-38b0bbaa4d5a,2025-10-01,243989.09,INVENTORY,APPROVED,424,2025-10-03 02:58:00
47a5d289-7ee3-4540-8e45-31d9f3c45f93,c9059894-6149-4850-9c49-c0b51175a4f9,2025-10-02,232313.77,EXPANSION,PENDING,819,2025-10-03 02:21:00
40442085-da54-49c4-aef2-a3c2ef1a1ca9,6d176db0-5b63-4501-9d7f-9ea20e932f67,2025-10-01,168387.49,INVENTORY,APPROVED,752,2025-10-03 02:21:00
80f413b8-434c-4964-84f5-9f20eb38fa5b,e2817d4a-99c0-4e85-9c2f-7db9bb266202,2025-10-01,33634.64,EXPANSION,PENDING,525,2025-10-03 02:28:00
767f8f1f-0f91-4bf9-a19f-2ddf0df4a2cb,06251a80-1597-49bb-b792-424501228af5,2025-10-03,147940.70,INVENTORY,PENDING,584,2025-10-03 02:12:00
88afadad-f4ce-40f6-aa86-d0a1965e92c7,dfc854ce-179a-4bb8-8387-b9e65798dc42,2025-10-03,244080.68,PAYROLL,APPROVED,802,2025-10-03 02:20:00
eb1d3c2f-29fe-4afe-80bf-4c2c431f7b88,06251a80-1597-49bb-b792-424501228af5,2025-10-02,102401.71,EQUIPMENT,APPROVED,737,2025-10-03 02:23:00
8634889e-1d61-4886-a3d2-2ef19df98028,6d176db0-5b63-4501-9d7f-9ea20e932f67,2025-10-02,244493.29,EQUIPMENT,REJECTED,389,2025-10-03 02:13:00
722061a3-db1c-4765-bf83-e65fa0909ab3,9aa1c87c-8db2-4a9d-985b-a91e823478ad,2025-10-02,45128.63,EQUIPMENT,APPROVED,734,2025-10-03 02:46:00
