application_id,merchant_id,application_date,requested_amount,loan_purpose,application_status,credit_score,processing_time
a24a8ad9-810d-40ee-8400-1dab32be7eb4,4e5f2db8-b636-41c6-adf8-60900519c72d,2025-10-10,69958.91,EQUIPMENT,PENDING,791,2025-10-10 02:26:00
061c9e45-2dc6-425d-8c65-2479c034c4e5,098bcd5b-0d2f-45d3-8126-8d81f454f4da,2025-10-09,53931.71,EQUIPMENT,PENDING,624,2025-10-10 02:48:00
200fb420-3202-4ed5-82d5-6dfac7a8455d,264c1431-7472-4c4c-a122-de8c53ef26bd,2025-10-10,157387.62,INVENTORY,PENDING,333,2025-10-10 02:41:00
f631ac4d-e07d-4f66-a7b0-8f01d5f658d9,a5e74fdb-4543-40c8-a828-a7cd83c1603c,2025-10-09,96287.16,WORKING_CAPITAL,APPROVED,818,2025-10-10 02:09:00
6bc56afb-1fbd-46f0-8442-c3ad72317b48,c082bdbf-48d4-4795-9b61-489ff67c5522,2025-10-10,133706.77,EQUIPMENT,REJECTED,641,2025-10-10 02:41:00
3c8200f0-ac2b-4c53-a689-46a98b0bb316,0e4c7fd8-4c3e-42f0-9011-765255de0990,2025-10-10,216905.20,INVENTORY,PENDING,721,2025-10-10 02:27:00
7c91cb78-4f33-45e3-b13a-42bf05666953,60a0c25f-5c88-47d0-9671-64f27704d360,2025-10-10,68755.96,INVENTORY,PENDING,380,2025-10-10 02:04:00
95411ae1-599b-4744-a958-cac7018ae025,098bcd5b-0d2f-45d3-8126-8d81f454f4da,2025-10-08,93609.91,PAYROLL,APPROVED,380,2025-10-10 02:38:00
9fbf1404-1065-4dc1-81d4-9bf2d208ab63,640eda7a-617c-4ec3-9ec8-4b77f1a2b5c0,2025-10-09,248436.52,EXPANSION,PENDING,404,2025-10-10 02:43:00
bb264721-5f40-4abe-ba17-f81b03fcbc30,24b7ed7b-26c4-48a7-8a84-1a9dc7d16d30,2025-10-09,103439.29,EQUIPMENT,PENDING,613,2025-10-10 02:30:00
d1b3f6d3-9229-4561-b308-0ad8762c78fe,e494fcac-d87e-46c9-b01a-1179947e1c22,2025-10-08,105048.86,EQUIPMENT,APPROVED,300,2025-10-10 02:17:00
eb82dc79-9353-44b0-bdbd-b581288a2d8c,9aa1c87c-8db2-4a9d-985b-a91e823478ad,2025-10-08,215332.35,PAYROLL,REJECTED,450,2025-10-10 02:45:00
eb82dc79-9353-44b0-bdbd-b581288a2d8c,9aa1c87c-8db2-4a9d-985b-a91e823478ad,2025-10-08,215332.35,PAYROLL,REJECTED,450,2025-10-10 02:45:00
5e3c2256-b1d6-4b02-87db-9a71c2fa0f0d,c881b449-cf11-4a14-ae10-3b404623ad13,2025-10-09,104008.44,PAYROLL,REJECTED,683,2025-10-10 02:01:00
53beb572-40ae-4826-bdd1-df6b0997d4c0,016fc6ee-3b44-4211-8fcc-e7e35df45aa7,2025-10-10,176838.99,WORKING_CAPITAL,APPROVED,303,2025-10-10 02:46:00
1e089e67-3d18-4096-b03c-4bc7f3cbaffe,4fd48356-4141-4dd0-b8f8-32c03ae18102,2025-10-09,214564.52,WORKING_CAPITAL,APPROVED,792,2025-10-10 02:43:00
