disbursement_id,application_id,merchant_id,disbursed_amount,disbursement_date,interest_rate,term_months,repayment_schedule
b4c7e39e-57fb-47cc-a5be-f00f76b336af,8d73ae77-c613-4c59-a80b-68a544a9d31f,a5e74fdb-4543-40c8-a828-a7cd83c1603c,185062.36,2025-10-08,0.1112,12,WEEKLY
0e804ebb-3401-4054-b64b-6ac8cd541456,d4a34558-94da-4779-bb9b-d0f8dbebe618,98ac8061-ff08-491e-9c1d-cd63b7212e1b,94433.99,2025-10-07,0.1554,9,MONTHLY
0e804ebb-3401-4054-b64b-6ac8cd541456,d4a34558-94da-4779-bb9b-d0f8dbebe618,98ac8061-ff08-491e-9c1d-cd63b7212e1b,94433.99,2025-10-07,0.1554,9,MONTHLY
f2b8f63f-cf54-48a7-89a7-369d0b87537c,c8907c60-0403-4d57-81ee-edb88778ae65,24b7ed7b-26c4-48a7-8a84-1a9dc7d16d30,85581.81,2025-10-06,0.2380,12,DAILY
c0ae7628-ea4f-4a03-8af1-632b5b12e997,12838c8a-00df-46c8-8e68-6f46690d26e7,576b09cd-7c85-4334-bd42-47759b70f749,144232.49,2025-10-06,0.1353,9,MONTHLY
bd5a4a5b-811b-498a-bd7e-b9b75249721e,de0a6348-d637-4a53-b25f-c77e47b4a64d,8aa64daa-686d-4ec0-b31b-1788fd1f9256,72558.63,2025-10-06,0.1106,6,DAILY
bd9ea218-d7ff-4ae1-bf38-ae3b0f0eae08,fba8ccdc-7a2d-46c1-85ff-8e1deb516e06,406e2076-2b6c-41f4-9249-01bd45744bea,159006.46,2025-10-07,0.1307,18,DAILY
6a2ae6dd-01c2-425c-bc1f-770caef07b14,4ba108fa-d25e-4e02-91ef-3ea13651cb3b,f31d7583-c53d-445b-b26d-d5f472b897b9,79596.09,2025-10-07,0.2201,18,DAILY
d4901fca-7a2b-4873-8d6d-58feeeec6e9b,438e5cab-83d9-4132-a189-556b538a9080,0356f28d-6c73-42ff-8a4a-ba914e0c464e,113223.21,2025-10-08,0.2073,12,DAILY
6c8f2b42-07f0-419f-9320-6106f9c64222,70d5881b-ba73-464c-a517-75d3e5808289,6c712b76-41c2-4393-9da6-dcbbea3f1274,145469.66,2025-09-20,0.1512,18,WEEKLY
99c82a34-606e-46ba-bec6-911d56d51aa7,0785a97e-139d-4bf3-ac91-4f77de80f2c0,4fd48356-4141-4dd0-b8f8-32c03ae18102,145920.88,2025-10-08,0.1931,6,MONTHLY
fd547bf5-c5a7-4cd8-bbee-b0ed4b0772c4,70d5881b-ba73-464c-a517-75d3e5808289,6c712b76-41c2-4393-9da6-dcbbea3f1274,136209.80,2025-10-06,0.0932,12,WEEKLY
4df17a65-9968-4bb3-a6ad-a57c693046e8,01bbb4aa-d368-4e38-8d3e-4466868f2322,264c1431-7472-4c4c-a122-de8c53ef26bd,158809.99,2025-10-08,0.2354,9,DAILY
e7ff1fa9-3728-4d2b-a9d0-ad8022f112f2,3d707936-29f9-4d5c-8fbe-dfca8a983d5a,417f49e6-cdde-4655-9ccb-90e7bf199e3f,46632.45,2025-10-08,0.2428,9,WEEKLY
ec621099-0564-4056-9126-4afbbf6876cd,21213df4-5949-4bdf-945f-2f3ace19a6be,9dc06faa-6c22-48f3-8e0b-eff6a6079d7a,214400.30,2025-10-07,0.1385,6,DAILY
57983744-3fe8-4889-8a5f-f71ceb1a257a,6ac4b894-dc8b-4a7e-8a76-fa3f1759e28b,f31d7583-c53d-445b-b26d-d5f472b897b9,195212.09,2025-10-07,0.1961,6,DAILY
b54c5bb9-1959-4666-b0d6-71dae508a18c,1394d3ea-7be2-4bd2-b8e3-610685d524a8,b22eb926-c600-4168-a4b6-111f965b1f4a,200192.32,2025-10-06,0.2132,9,DAILY
