disbursement_id,application_id,merchant_id,disbursed_amount,disbursement_date,interest_rate,term_months,repayment_schedule
0e68e546-e1c0-4776-af14-0eb719e1bd5a,89ee3b51-a9e2-49fd-bf3f-5997bff621ff,2f5a56ec-ef1c-49d3-95a8-bb0b8551a8fd,182097.21,2025-09-24,0.0938,9,DAILY
74a82ee9-1a36-472c-a87c-1cd34dad97d3,c0b81d8e-9927-4d4d-a188-74b128497c60,a5e74fdb-4543-40c8-a828-a7cd83c1603c,199270.61,2025-10-05,0.1427,18,WEEKLY
1574a6ca-dc2f-4f61-8e76-5640494b097a,fa5d15bc-1c75-45f7-b738-e340cb1ebc00,a592711b-288f-46f7-a88e-7d9ff63ceaae,127136.59,2025-10-07,0.2381,6,MONTHLY
a7498bf7-40c4-4a8b-8a02-c6debe0dc56a,9984a5ad-93d4-494d-ba1e-a49dcc528470,5609c3c8-4b3c-4a16-998d-ec4a6ed79fe9,165055.21,2025-10-06,0.2124,12,WEEKLY
3c23b67e-5d5d-4353-9cc1-f1722369df52,7a04414c-50c9-43bd-b951-67809312e574,6d698345-2c02-496e-ae74-3082e3d2797d,152486.30,2025-10-06,0.1320,9,MONTHLY
098e7c5b-dba6-4a58-a7a6-54236a192352,a35b8a12-38b9-44c0-857c-b0921c1df542,4e5f2db8-b636-41c6-adf8-60900519c72d,163647.44,2025-10-07,0.1084,9,DAILY
bb09e9f1-ed45-4dd4-8eb7-90e0d269524e,205000b5-346d-48c9-818f-15c6e6b88ef6,016fc6ee-3b44-4211-8fcc-e7e35df45aa7,142408.21,2025-10-06,0.1302,9,WEEKLY
647e59e6-10eb-4876-b46f-97f057cc9eab,07cf6a52-3455-463d-889d-fb1bc1d130e0,a5e74fdb-4543-40c8-a828-a7cd83c1603c,14359.65,2025-10-07,0.2399,12,WEEKLY
5f81586f-6d98-4e95-8a88-27ea0e628a67,a8cdba6b-eb79-4508-a2ba-e3408140d0a7,f31d7583-c53d-445b-b26d-d5f472b897b9,9461.12,2025-10-05,0.2423,18,MONTHLY
a647c892-7844-40ca-944d-beb7c202b0bc,b20446c7-29d3-45ee-afd7-6076ad975cfd,3e189aa3-e2d2-49a0-834b-50b5c5c33db2,160519.90,2025-10-05,0.1887,12,MONTHLY
386f903e-b5e2-4963-bab0-d7a1440a26d6,b45446b8-d9eb-45d2-bc43-b4418cc99a7b,3d7f62f1-29a7-4818-99bd-189e2921e8e7,12429.00,2025-10-05,0.1751,9,DAILY
